sample_name	treatment	clone	jointly_handled
GSM5509823	DPY30mAID_0h_TT_seq_Rep1
GSM5509824	DPY30mAID_0h_TT_seq_Rep2
GSM5509825	DPY30mAID_24h_TT_seq_Rep1
GSM5509826	DPY30mAID_24h_TT_seq_Rep2
GSM5509827	DPY30mAID_8h_TT_seq_Rep1
GSM5509828	DPY30mAID_8h_TT_seq_Rep2
GSM5509837	RBBP5FKBP_0h_TT_seq_Rep1
GSM5509838	RBBP5FKBP_0h_TT_seq_Rep2
GSM5509839	RBBP5FKBP_24h_TT_seq_Rep1
GSM5509840	RBBP5FKBP_24h_TT_seq_Rep2
GSM5509841	RBBP5FKBP_8h_TT_seq_Rep1
GSM5509842	RBBP5FKBP_8h_TT_seq_Rep2
GSM7187862	INTS11FKBP_0h_TT_seq_Rep1
GSM7187863	INTS11FKBP_0h_TT_seq_Rep2
GSM7187864	INTS11FKBP_2h_TT_seq_Rep1
GSM7187865	INTS11FKBP_2h_TT_seq_Rep2
GSM7187866	INTS11FKBP_8h_TT_seq_Rep1
GSM7187867	INTS11FKBP_8h_TT_seq_Rep2