	H2AK119ub1 mean gb	H2AK119ub1 mean promoter	H3K27me3 mean gb	H3K27me3 mean promoter	RING1B mean gb	RING1B mean promoter	SUZ12 mean gb	SUZ12 mean promoter
ENSMUSG00000109605	-0.025041723623871803	0.1114872470498085	-0.08348975330591202	0.0420578233897686	-0.42829325795173645	-0.1411905288696289	-0.10583081841468811	-0.02942388318479061
ENSMUSG00000024050	-0.12256865203380585	0.03934247046709061	0.36504891514778137	-0.05464484542608261	0.3427124321460724	0.256343275308609	0.12123598903417587	0.1204039677977562
ENSMUSG00000085524	0.04070620983839035	0.05861561372876167	0.8353331089019775	0.1583055853843689	0.3366708755493164	-0.07410925626754761	0.04436735808849335	0.014377827756106853
ENSMUSG00000116009	0.14492206275463104	0.0632912889122963	0.31960511207580566	0.14153514802455902	0.23104089498519897	-0.039213232696056366	0.18728019297122955	-0.013683202676475048
ENSMUSG00000090129	-0.03304547071456909	0.08774453401565552	-0.13181369006633759	-0.018142497166991234	-0.1854754090309143	-0.14961281418800354	0.005528077017515898	-0.028434397652745247
ENSMUSG00000116339	-0.08289241790771484	0.03718947246670723	0.42911243438720703	0.06307163089513779	0.1767355352640152	0.21119184792041779	0.06469490379095078	-0.008135071024298668
ENSMUSG00000108869	-0.008838806301355362	0.11444368958473206	-0.13051164150238037	-0.03417138382792473	-0.3237576186656952	-0.07913675159215927	-0.0600726455450058	-0.053914107382297516
ENSMUSG00000053773	-0.011281069368124008	0.07051911950111389	0.29580914974212646	-0.017018405720591545	-0.2133994847536087	-0.25151318311691284	-0.015386568382382393	-0.04326047748327255
ENSMUSG00000112640	0.014444348402321339	0.1159302145242691	0.7113472819328308	0.3314765989780426	-0.8189842104911804	0.07678879052400589	-0.2673642635345459	-0.039912350475788116
ENSMUSG00000034039	-0.051993098109960556	0.06369968503713608	-0.18294702470302582	-0.037994857877492905	-0.2245018631219864	-0.11979641765356064	0.0016677561216056347	-0.030025877058506012
ENSMUSG00000113012	0.0033451032359153032	0.05871383100748062	-0.5343413352966309	-0.03134014084935188	1.0356388092041016	-0.09564170241355896	0.3097003996372223	-0.033977434039115906
ENSMUSG00000029530	-0.1824546605348587	0.046503614634275436	-0.24895742535591125	-0.3104500472545624	-0.029593776911497116	0.13022910058498383	0.1214415431022644	0.05131329968571663
ENSMUSG00000097917	-0.06866639852523804	-0.10588104277849197	-0.43276268243789673	-0.14468689262866974	0.16374562680721283	0.32155123353004456	0.14410912990570068	0.060437969863414764
ENSMUSG00000097393	-0.0038635670207440853	0.10152506828308105	0.0645124614238739	0.009787417948246002	-0.13900847733020782	0.17462043464183807	-0.03312727436423302	-0.0012915449915453792
ENSMUSG00000104470	-0.04356847703456879	0.0978187546133995	-0.28498560190200806	-0.021934421733021736	-0.2641201913356781	-0.07626689970493317	-0.041904278099536896	-0.008380371145904064
ENSMUSG00000107742	0.36337801814079285	-0.24263234436511993	-0.9347566366195679	-0.1677459329366684	0.5067529082298279	0.3803063631057739	0.2577912211418152	0.06629277020692825
ENSMUSG00000034573	-0.17627307772636414	0.08915004134178162	0.18010026216506958	-0.22775886952877045	0.01928003318607807	0.08236725628376007	0.13150915503501892	0.13756419718265533
ENSMUSG00000028049	-0.11528491228818893	0.02666049636900425	0.9606983065605164	0.15275005996227264	0.5885261297225952	0.20427431166172028	0.14950992166996002	-0.007288625463843346
ENSMUSG00000104937	-0.006269760895520449	0.10258251428604126	-0.2881089150905609	0.03703192621469498	-0.04140906035900116	-0.06066400185227394	-0.02516208589076996	-0.031278420239686966
ENSMUSG00000047347	0.026135114952921867	0.11853258311748505	0.25232675671577454	-0.06745826452970505	0.08559292554855347	-0.05875039100646973	0.0624317042529583	0.004872530233114958
ENSMUSG00000034902	-0.055158086121082306	0.031946249306201935	0.6760818362236023	-0.06271108239889145	0.2989750802516937	0.23188912868499756	0.1424892693758011	0.056267742067575455
ENSMUSG00000096918	-0.04321303218603134	0.05472446605563164	-0.3960023820400238	-0.03830461576581001	0.6402575969696045	-0.06908572465181351	0.28543272614479065	-0.030957350507378578
ENSMUSG00000082754	-0.45982417464256287	0.08095747232437134	0.1818426102399826	0.05524681508541107	-0.6076680421829224	-0.16037049889564514	-0.18292422592639923	-0.1442425549030304
ENSMUSG00000031024	-0.10297689586877823	0.04431828111410141	0.4355144798755646	-0.07074682414531708	0.02567421831190586	0.24807584285736084	0.057983703911304474	0.06833945959806442
ENSMUSG00000052563	-0.11968211829662323	0.0071378713473677635	0.7994210720062256	-0.0032038474455475807	0.20088869333267212	0.28146371245384216	0.1301826387643814	0.05056903883814812
ENSMUSG00000082988	0.0019065933302044868	0.15347905457019806	0.01183351967483759	-0.018633311614394188	-0.3845047056674957	-0.007750004529953003	0.10028079152107239	-0.02793813869357109
ENSMUSG00000106802	0.010161833837628365	0.09133624285459518	0.13259842991828918	0.022401440888643265	-0.4663749039173126	-0.12019345909357071	-0.1658479869365692	-0.06846380978822708
ENSMUSG00000091049	-0.06326521188020706	0.07991673797369003	-0.2577723562717438	0.008203192614018917	-0.31327101588249207	-0.13776399195194244	0.062312375754117966	0.03100248984992504
ENSMUSG00000017858	0.06744471192359924	0.0747663676738739	0.9449054002761841	0.04268331080675125	0.1118193119764328	0.1805916726589203	-0.05505497008562088	0.03314995765686035
ENSMUSG00000096141	-0.051708243787288666	0.07330194860696793	-0.07144493609666824	-0.05065218359231949	-0.2027767300605774	0.16777107119560242	-0.06818785518407822	0.016164738684892654
ENSMUSG00000071771	-0.02505415491759777	0.11615518480539322	0.3798656165599823	0.05764205753803253	-1.040062665939331	-0.21854396164417267	-0.24815717339515686	-0.10740348696708679
ENSMUSG00000037849	-0.09431289881467819	0.09954717755317688	0.10317260771989822	0.018817685544490814	-0.5148391723632812	-0.1360241323709488	-0.19152237474918365	-0.10907462984323502
ENSMUSG00000031935	0.08412675559520721	0.06609707325696945	1.336057186126709	-0.04204341396689415	-0.19626663625240326	0.1350860744714737	-0.03625903278589249	0.038523729890584946
ENSMUSG00000038132	0.07987445592880249	-0.1993001103401184	-0.8330702185630798	-0.19621986150741577	0.524074912071228	0.2273714244365692	0.14997932314872742	-0.04199296981096268
ENSMUSG00000002032	-0.024045737460255623	-0.17108583450317383	-0.3601510524749756	-0.15995842218399048	0.1734055131673813	0.34906020760536194	0.16885784268379211	0.04117453470826149
ENSMUSG00000041068	0.019554419443011284	0.1628114879131317	0.31092768907546997	0.10492508113384247	-0.8242271542549133	-0.1983633190393448	-0.058963097631931305	-0.09532763808965683
ENSMUSG00000026409	0.005265669897198677	0.1017763540148735	0.42132994532585144	-0.0810423493385315	0.26944729685783386	-0.08814828842878342	0.0583045519888401	-0.02214503288269043
ENSMUSG00000109764	0.008452107198536396	0.12090498954057693	-0.20667169988155365	-0.028502440080046654	-0.2560395896434784	-0.1544521003961563	-0.012830754742026329	-0.022688860073685646
ENSMUSG00000035086	-0.027339331805706024	0.06901929527521133	1.1604801416397095	-0.06814933568239212	0.09403156489133835	0.10321009904146194	0.08405529707670212	0.02841605618596077
ENSMUSG00000112246	-0.10337243974208832	0.03718964383006096	-0.2477523237466812	-0.006031898315995932	-0.2605413496494293	0.019300496205687523	0.06338441371917725	0.060914937406778336
ENSMUSG00000112458	-0.01748911663889885	0.08697500079870224	0.1063910573720932	0.11954972892999649	0.021662769839167595	-0.20567737519741058	0.07927746325731277	-0.01977057196199894
ENSMUSG00000072595	-0.013551434502005577	0.13666760921478271	-0.10711166262626648	0.06325892359018326	-0.4147619903087616	-0.12911146879196167	-0.123273566365242	-0.05390698090195656
ENSMUSG00000108456	0.017031759023666382	0.09988778829574585	-0.034889522939920425	0.0864138975739479	0.15405990183353424	-0.20508120954036713	-0.02482200413942337	-0.042340345680713654
ENSMUSG00000015134	-0.004880648106336594	-0.14076149463653564	-0.4473952353000641	-0.247294619679451	0.055611588060855865	0.25242146849632263	0.11139308661222458	-0.040340080857276917
ENSMUSG00000026602	-0.07618743181228638	-0.16471780836582184	-0.43938368558883667	-0.12082543969154358	-0.09029362350702286	0.1600230634212494	0.11984032392501831	-0.009316620416939259
ENSMUSG00000058835	0.0857507735490799	0.08324660360813141	0.6804572343826294	-0.01985578052699566	-0.07079551368951797	0.14438402652740479	-0.0402521975338459	0.06559469550848007
ENSMUSG00000066263	-0.061668600887060165	0.08299269527196884	-0.25503072142601013	-0.0444754995405674	-0.15364041924476624	-0.03813021257519722	-0.023572765290737152	-0.05175401642918587
ENSMUSG00000072294	0.02501976303756237	0.07716062664985657	0.29179999232292175	0.31089091300964355	-0.17241384088993073	0.20742613077163696	-0.09760724753141403	0.018153401091694832
ENSMUSG00000017485	-0.10853000730276108	0.08641427010297775	0.24061347544193268	-0.10451901704072952	-0.0979185700416565	0.14233513176441193	0.07799586653709412	0.17103397846221924
ENSMUSG00000017969	-0.09639658778905869	-0.023545240983366966	0.13804908096790314	-0.04261791706085205	0.13583552837371826	0.06228615343570709	0.15572689473628998	0.0819273293018341
ENSMUSG00000115834	-0.06028236821293831	0.0495777428150177	0.3550034463405609	-0.035061296075582504	0.2572007477283478	0.06573037803173065	0.09125185757875443	-0.03116600587964058
ENSMUSG00000023122	-0.02685628831386566	0.11329346895217896	-0.20038799941539764	-0.017903361469507217	-0.4151464104652405	-0.11014635115861893	-0.02894827537238598	-0.009221039712429047
ENSMUSG00000105987	0.11007177084684372	0.06260184198617935	1.9990097284317017	0.25662359595298767	-1.3579899072647095	0.1364404410123825	-0.262440025806427	-0.018635926768183708
ENSMUSG00000109042	0.020480256527662277	0.13012553751468658	0.02908962219953537	0.013727464713156223	-0.25409525632858276	-0.20161381363868713	-0.13448470830917358	-0.04664670303463936
ENSMUSG00000030203	-0.13044430315494537	0.06687986105680466	0.26920437812805176	-0.08895421773195267	0.08180394023656845	0.20753483474254608	0.09642655402421951	0.1649593859910965
ENSMUSG00000055197	0.9852189421653748	-0.2322150021791458	-2.5123448371887207	-0.7757624983787537	2.425917387008667	-0.2509630024433136	0.18403679132461548	-0.09652846306562424
ENSMUSG00000022997	0.5847408175468445	-0.18715070188045502	-2.313418388366699	-0.6004679799079895	2.8708441257476807	-0.14065557718276978	0.14230141043663025	0.006087679415941238
ENSMUSG00000036557	-0.10379297286272049	0.0339897982776165	0.1261463314294815	-0.04482465609908104	-0.052441421896219254	0.12817052006721497	0.06931376457214355	0.04877563565969467
ENSMUSG00000027628	0.07493654638528824	0.06696265935897827	1.147671103477478	-0.004632053896784782	0.00335585861466825	0.13239841163158417	-0.03953960910439491	0.02603088691830635
ENSMUSG00000024727	-0.1507876068353653	-0.0023000731598585844	-0.19464631378650665	-0.24847042560577393	-0.5851964950561523	0.13032208383083344	0.04565288498997688	0.09783999621868134
ENSMUSG00000048763	0.30732262134552	-0.2582050561904907	-1.767350673675537	-0.4558650851249695	2.2145888805389404	0.2531931400299072	0.10942012816667557	0.07719776034355164
ENSMUSG00000037568	-0.06634096801280975	-0.0050486610271036625	-0.15853933990001678	-0.14286337792873383	0.388278603553772	0.07888856530189514	0.15776167809963226	0.10008195787668228
ENSMUSG00000030579	-0.03348563238978386	0.0722501203417778	0.31030112504959106	-0.04032214730978012	-0.2451179325580597	-0.21284715831279755	0.028823206201195717	-0.02294657751917839
ENSMUSG00000052656	-0.14480619132518768	0.014840577729046345	-0.31599804759025574	-0.06056317687034607	0.20235441625118256	0.29599499702453613	0.16145211458206177	0.14703860878944397
ENSMUSG00000044860	-0.027668945491313934	0.08282028138637543	0.14291855692863464	0.11176833510398865	-0.1838112622499466	-0.006175667513161898	-0.017607349902391434	-0.0315912589430809
ENSMUSG00000044081	0.030338672921061516	0.0921436995267868	0.28207704424858093	0.021056795492768288	-0.12348499149084091	0.17250412702560425	-0.05237025395035744	-0.02144237607717514
ENSMUSG00000029054	-0.005210048984736204	-0.14260248839855194	-0.31589338183403015	-0.13605725765228271	-0.0008485349826514721	0.2069283425807953	0.1467978060245514	0.019167615100741386
ENSMUSG00000025051	-0.6218763589859009	0.02674681693315506	0.33853599429130554	0.0839058980345726	-0.7831037044525146	-0.2262069284915924	-0.13709211349487305	-0.20980224013328552
ENSMUSG00000115557	-0.025447087362408638	0.07500098645687103	0.28342685103416443	0.07835128903388977	0.16853095591068268	-0.12123897671699524	0.06471098959445953	-0.011609338223934174
ENSMUSG00000112732	-0.04556100815534592	0.09978687018156052	-0.2179763913154602	-0.021964948624372482	-0.23610778152942657	-0.10014837235212326	-0.06274083256721497	-0.04478892311453819
ENSMUSG00000104435	-0.027865411713719368	0.07067587971687317	0.6736412644386292	0.10859222710132599	0.47831401228904724	-0.044662266969680786	0.13235384225845337	0.016667503863573074
ENSMUSG00000099685	-0.32130733132362366	0.10470537096261978	0.4019666612148285	0.45339906215667725	-1.2778217792510986	-0.40806373953819275	-0.4812105596065521	-0.11658686399459839
ENSMUSG00000090942	-0.06390279531478882	0.08135663717985153	-0.17635822296142578	-0.026138614863157272	-0.3453945815563202	-0.08785649389028549	-0.10963773727416992	-0.042233701795339584
ENSMUSG00000019235	0.039349719882011414	-0.1299852579832077	-0.23024629056453705	-0.09687577933073044	0.5041487216949463	0.3179633319377899	0.19684986770153046	0.09284740686416626
ENSMUSG00000022999	-0.05027582123875618	0.0639825314283371	0.8439744710922241	0.04958738759160042	0.12433725595474243	0.1633223295211792	0.09056349098682404	0.007341987453401089
ENSMUSG00000118502	0.06233404576778412	0.03542928770184517	0.5214428901672363	0.0059363082982599735	0.5031864047050476	0.0024176337756216526	0.27115312218666077	0.03847363963723183
ENSMUSG00000052783	-0.1689346879720688	0.008300472050905228	-0.4648462235927582	-0.10672840476036072	-0.004797860514372587	0.2522604465484619	0.09978806227445602	0.11118505150079727
ENSMUSG00000117574	-0.1230897307395935	0.09338448196649551	-0.04749411717057228	-0.004925190471112728	-0.3980295658111572	-0.08317974954843521	-0.17797811329364777	-0.0782058909535408
ENSMUSG00000059668	-0.020940260961651802	-0.004093725234270096	-0.1871761828660965	-0.014469977468252182	-0.16103225946426392	-0.04306202754378319	0.1244233101606369	0.05868067592382431
ENSMUSG00000021638	-0.14778821170330048	-0.022408990189433098	-0.37848925590515137	-0.22506122291088104	0.6094629764556885	-0.17898191511631012	0.09984705597162247	0.07787793129682541
ENSMUSG00000046922	0.29250872135162354	-0.2162439525127411	-1.6216932535171509	-0.5617539286613464	1.4100788831710815	0.34195467829704285	0.3149645924568176	0.06696611642837524
ENSMUSG00000114288	-0.08326467871665955	0.06030426174402237	0.004647803492844105	-0.02899167500436306	-0.4555577337741852	-0.03440592437982559	-0.011529810726642609	-0.012412556447088718
ENSMUSG00000100302	0.01989131234586239	0.11728783696889877	0.08417997509241104	-0.05336860567331314	-0.2184200882911682	-0.16955503821372986	-0.0378464013338089	-0.06339377164840698
ENSMUSG00000106350	0.004236428998410702	0.10124941915273666	-0.09337809681892395	0.5638874769210815	-0.11032188683748245	-0.17006909847259521	0.05524667352437973	0.015231430530548096
ENSMUSG00000095044	0.029094694182276726	0.098331019282341	0.3729371130466461	-0.0495673306286335	-0.46218040585517883	-0.15572062134742737	-0.16123643517494202	-0.14411436021327972
ENSMUSG00000101270	-0.5912485718727112	0.14089001715183258	0.11578304320573807	0.17325975000858307	-0.8151538968086243	-0.23920057713985443	-0.21356889605522156	-0.10628794878721237
ENSMUSG00000113400	-0.13629455864429474	0.054720696061849594	1.1226884126663208	0.12500818073749542	-0.6828790903091431	-0.2908557951450348	-0.3060266971588135	-0.18291909992694855
ENSMUSG00000073418	-0.03196609020233154	0.07668209820985794	-0.1568601280450821	-0.03204381838440895	-0.24357879161834717	-0.18686042726039886	0.06604093313217163	-0.005668685305863619
ENSMUSG00000117534	0.004691861104220152	0.0904645174741745	-0.09032741189002991	-0.0013904222287237644	0.1780872941017151	-0.10720603168010712	-0.013863316737115383	-0.03159244358539581
ENSMUSG00000025094	-0.13222624361515045	-0.09432842582464218	-0.20156554877758026	-0.1971088945865631	-0.06771831214427948	0.3121282160282135	0.1174730509519577	0.06892205774784088
ENSMUSG00000114097	-0.03415869176387787	0.09471395611763	-0.07370339334011078	-0.03381265699863434	-0.3640231788158417	-0.08609567582607269	-0.10024881362915039	-0.058774832636117935
ENSMUSG00000070306	-0.047806259244680405	0.09676650911569595	0.09949768334627151	-0.058410778641700745	-0.1352960616350174	-0.056647658348083496	0.11192587018013	-0.014038263820111752
ENSMUSG00000028965	-0.1314973682165146	0.02070385403931141	-0.24553333222866058	-0.03568000718951225	0.155799999833107	0.34032467007637024	0.14047354459762573	0.07774455100297928
ENSMUSG00000110369	-0.014454978518188	0.10030293464660645	-0.06420551985502243	0.1746356189250946	-0.40884143114089966	-0.22059543430805206	-0.04996921867132187	-0.007269380614161491
ENSMUSG00000073893	-0.0798376277089119	0.07663477957248688	-0.18177242577075958	-0.04751696437597275	-0.2103906124830246	-0.053991932421922684	-0.07701887935400009	-0.07306181639432907
ENSMUSG00000027518	0.0009656575275585055	0.06690932810306549	-0.1293962150812149	-0.05249856039881706	-0.010453867726027966	-0.13655374944210052	0.08409885317087173	-0.004921245388686657
ENSMUSG00000098630	-0.02233421616256237	0.11249282211065292	-0.07805777341127396	0.06424088776111603	-0.108537457883358	-0.21104072034358978	-0.017048289999365807	-0.027060730382800102
ENSMUSG00000115413	-0.12116298824548721	0.07576504349708557	-0.21526116132736206	-0.042817093431949615	-0.07417480647563934	0.16349640488624573	-0.07471965998411179	0.03289590775966644
ENSMUSG00000107014	-0.10882709175348282	0.028756389394402504	0.10014112293720245	-0.05840570852160454	0.10474202036857605	0.236084446310997	0.06738342344760895	0.0776720941066742
ENSMUSG00000044783	0.004564645700156689	0.06639374047517776	1.288205623626709	-0.0772690698504448	0.1558271050453186	0.1490907520055771	0.013809863477945328	0.033518288284540176
ENSMUSG00000067389	-0.038304902613162994	0.07275085896253586	1.3119235038757324	0.1557963788509369	-0.16314159333705902	0.11519023776054382	-0.04093020781874657	0.0026953464839607477
ENSMUSG00000101740	-0.11364532262086868	-0.1440376192331314	1.7304198741912842	0.32776930928230286	-1.7543660402297974	-0.35433363914489746	-1.1023890972137451	-0.3109322488307953
ENSMUSG00000079283	-0.06534092128276825	0.1071949228644371	-0.4903489947319031	0.11215097457170486	0.5620364546775818	0.33199527859687805	0.381368488073349	0.01864776760339737
ENSMUSG00000087259	-0.13210920989513397	0.012470876798033714	0.2589905560016632	-0.13304831087589264	-0.13037291169166565	0.22844131290912628	0.08423539251089096	0.1273331642150879
ENSMUSG00000118435	-0.033653076738119125	0.08323251456022263	0.47106945514678955	-0.005405672825872898	-0.058773964643478394	0.02325092814862728	-0.13774354755878448	-0.05584431067109108
ENSMUSG00000050822	-0.001122842775657773	0.018537277355790138	-0.5076013207435608	-0.013975798152387142	0.4840608537197113	-0.053956713527441025	0.23860156536102295	0.011263502761721611
ENSMUSG00000092077	-0.06627890467643738	0.09589222073554993	-0.35038480162620544	-0.026176290586590767	-0.19331426918506622	-0.06807778030633926	-0.048163171857595444	0.005874377675354481
ENSMUSG00000089995	-0.021839935332536697	0.1257319301366806	-0.24764512479305267	-0.00805406179279089	-0.20281758904457092	0.013554215431213379	-0.03703918680548668	-0.03816157579421997
ENSMUSG00000097927	-0.07744964957237244	0.07133938372135162	-0.22838149964809418	-0.007697950582951307	-0.24998551607131958	0.03042777255177498	0.012043398804962635	0.05992649123072624
ENSMUSG00000112112	-0.04754333943128586	0.09300865232944489	-0.14348773658275604	-0.02722730115056038	-0.3878506124019623	-0.06540367007255554	-0.09410173445940018	-0.041639622300863266
ENSMUSG00000109615	-0.08580878376960754	0.09856868535280228	-0.1340736746788025	0.010886666364967823	-0.31494060158729553	-0.09861484169960022	-0.17209085822105408	-0.06466888636350632
ENSMUSG00000011179	-0.032216135412454605	0.044788699597120285	1.1906938552856445	0.04381421580910683	0.15909087657928467	0.21993832290172577	0.05806872248649597	0.01920836977660656
ENSMUSG00000110364	-0.17573092877864838	0.08287613838911057	-0.20314142107963562	-0.0213825274258852	-0.3073911666870117	-0.004637989215552807	-0.07614162564277649	-0.07757354527711868
ENSMUSG00000110433	0.017650160938501358	0.09968754649162292	0.5609851479530334	0.11068858951330185	-0.153955340385437	-0.21150144934654236	-0.08559753745794296	-0.06080886721611023
ENSMUSG00000055553	-0.02461962215602398	0.06518182903528214	1.075772762298584	0.1260390281677246	0.663570761680603	0.2015773355960846	0.09342262893915176	0.005690633784979582
ENSMUSG00000102397	-0.08916763961315155	0.10785749554634094	-0.16083002090454102	0.008073044009506702	-0.4864836037158966	-0.018309511244297028	-0.0685003399848938	-0.0615011490881443
ENSMUSG00000092517	-0.020955534651875496	0.10631255060434341	-0.1135803684592247	-0.024662598967552185	-0.4051434397697449	-0.10379181057214737	-0.04774552956223488	-0.009615594521164894
ENSMUSG00000038843	-0.030149757862091064	0.08204653859138489	0.059309571981430054	-0.04969431832432747	-0.2786850333213806	-0.19755429029464722	0.009598997421562672	-0.027558445930480957
ENSMUSG00000103927	-0.052933622151613235	0.08284017443656921	-0.21735592186450958	-0.03762136772274971	0.00676250085234642	-0.20558761060237885	0.10520219802856445	-0.010599794797599316
ENSMUSG00000044348	0.02814699150621891	0.10247243940830231	0.8055994510650635	0.38636383414268494	-0.7271740436553955	0.10974562913179398	-0.14388500154018402	-0.012087834067642689
ENSMUSG00000075145	-0.38332003355026245	-0.006829749792814255	0.5307916402816772	0.04510484263300896	-0.11614393442869186	-0.059276677668094635	-0.272264301776886	-0.1960417628288269
ENSMUSG00000030365	-0.0153152821585536	0.09233389049768448	0.03642630577087402	-0.013586943037807941	0.09375292807817459	-0.15780286490917206	-0.07030972838401794	-0.08374442160129547
ENSMUSG00000108200	-0.038252174854278564	0.09740941226482391	0.24544410407543182	0.023290636017918587	-0.13846716284751892	-0.02012771926820278	0.052939604967832565	-0.02702910825610161
ENSMUSG00000036402	-0.1721929907798767	0.06566870212554932	0.07294773310422897	-0.24126414954662323	0.08241189271211624	0.17841143906116486	0.12411171942949295	0.12037799507379532
ENSMUSG00000038280	0.35605570673942566	-0.30962058901786804	-0.9633897542953491	-0.19309423863887787	1.151318073272705	-0.3025953769683838	-0.11317199468612671	-0.054486118257045746
ENSMUSG00000104520	-0.016138698905706406	0.06092539429664612	0.22698982059955597	-0.014537835493683815	0.13399825990200043	-0.08300343155860901	0.07447315007448196	-0.035516951233148575
ENSMUSG00000063851	-0.011953451670706272	0.13545376062393188	-0.012633332051336765	0.055393751710653305	-0.2866520881652832	-0.1677754819393158	-0.002549398923292756	-0.04328988492488861
ENSMUSG00000024921	-0.11744367331266403	0.005929885897785425	-0.23893649876117706	-0.21323856711387634	0.6152889728546143	-0.22129744291305542	0.10349492728710175	0.09639681875705719
ENSMUSG00000062553	-0.03636947274208069	0.11475370079278946	-0.12213997542858124	-0.021840538829565048	-0.39515313506126404	-0.07609407603740692	-0.11994682997465134	-0.03364495560526848
ENSMUSG00000048186	-0.14536774158477783	0.022824563086032867	-0.3796216547489166	-0.2036227285861969	0.041966672986745834	0.059099696576595306	0.12807412445545197	0.0651097223162651
ENSMUSG00000085111	-0.12614211440086365	0.07437705993652344	0.7172587513923645	-0.08415235579013824	0.5361002087593079	0.13680562376976013	0.1600874364376068	0.10488047450780869
ENSMUSG00000040669	0.0470549501478672	0.05429477617144585	1.5001300573349	0.17152105271816254	0.10502198338508606	0.16238178312778473	-0.00490883132442832	0.01613933965563774
ENSMUSG00000038067	0.01580059714615345	0.06373988837003708	0.2014644593000412	-0.07388421148061752	0.004539015237241983	-0.08405434340238571	0.10833349078893661	-0.027984434738755226
ENSMUSG00000022868	-0.03909832239151001	0.07135885953903198	-0.17108558118343353	-0.048220500349998474	0.7118141651153564	-0.16685038805007935	0.15387758612632751	-0.03591106832027435
ENSMUSG00000030247	0.514970064163208	-0.28679347038269043	-1.2250040769577026	-0.38093748688697815	0.7423633337020874	0.4347318410873413	0.1700543463230133	0.001423629466444254
ENSMUSG00000055421	-0.20899426937103271	0.08825275301933289	-0.3544052541255951	-0.3096902668476105	-0.26699021458625793	0.10186383873224258	0.06377243995666504	0.135323166847229
ENSMUSG00000024212	-0.064485102891922	0.06971791386604309	1.1703132390975952	0.0006999662728048861	-0.10308422148227692	0.16460391879081726	0.03579229861497879	0.026538755744695663
ENSMUSG00000116718	0.02815784513950348	0.09456870704889297	0.7260334491729736	-0.07360193878412247	-0.08001533150672913	0.005966758821159601	-0.01464956533163786	-0.04968946427106857
ENSMUSG00000044442	0.03038208745419979	0.06358013302087784	0.8596077561378479	-0.006141037214547396	-0.27498453855514526	0.17762087285518646	-0.05557703599333763	0.0011822987580671906
ENSMUSG00000039691	-0.02455008029937744	0.10620300471782684	0.12089580297470093	0.11697757989168167	-0.24876254796981812	-0.16071535646915436	0.010583949275314808	-0.038488492369651794
ENSMUSG00000097483	0.03462492302060127	0.1511000096797943	0.4589405059814453	0.44760769605636597	-0.0876520648598671	-0.03865940496325493	-0.12295792251825333	-0.01063589658588171
ENSMUSG00000052229	-0.001173711963929236	0.07495476305484772	-0.23087036609649658	-0.02080540731549263	-0.07780628651380539	-0.26129764318466187	0.14887093007564545	-0.016590608283877373
ENSMUSG00000036764	-0.0032282781321555376	0.08377497643232346	0.3555927276611328	-0.049328576773405075	-0.10161241888999939	0.16653060913085938	0.018611446022987366	0.089751236140728
ENSMUSG00000045273	0.07513639330863953	0.07680479437112808	1.2592904567718506	0.09037105739116669	-0.2579286992549896	0.11559366434812546	-0.056110478937625885	0.021942462772130966
